kind,mname,relevant
aps,Computername,true
aps,Namensserver,true
aps,Registrierter Name,true
aps,Betriebssystem,true
aps,CPU-Typ,true
aps,CPUs,true
aps,RAM (MB),true
aps,Lokale Zeit,true
aps,Festplattengröße (GB),true
aps,Belegter Speicherplatz (GB),true
aps,Version,true
aps,Startzeit,true
aps,PID,true
aps,Hostname,true
aps,Host-IP-Adresse,true
aps,Anforderungs-Port,true
aps,Geclusterte CMS-Server,true
aps,Fehlgeschlagene Aufträge,true
aps,Ausstehende Aufträge,true
aps,Laufende Aufträge,true
aps,Abgeschlossene Aufträge,true
aps,Wartende Aufträge,true
aps,Erworbene Zugriffslizenzen,true
aps,Erworbene Designer-Lizenzen,true
aps,Erworbene Namenslizenzen,true
aps,Erworbene Prozessorlizenzen,true
aps,Erworbene Serverlizenzen,true
aps,Erstellungsdatum,true
aps,Systemdatenbankname,true
aps,Systemdatenbank-Servername,true
aps,Systemdatenbank-Anwendername,true
aps,Datenquellenname,true
aps,Erstellungsnummer,true
aps,Produktversion,true
aps,Ressourcenversion,true
aps,Hergestellte Systemdatenbankverbindungen,true
aps,Momentan verwendete Systemdatenbankverbindungen,true
aps,Ausstehende Systemdatenbankanforderungen,true
aps,Anzahl der Objekte in CMS-Systemcache,true
aps,Anzahl der Objekte in CMS-Systemdatenbank,true
aps,Verbundene Zugriffslizenzanwender,true
aps,Verbundene Namenslizenzanwender,true
aps,Vorhandene Konten für Zugriffslizenzanwender,true
aps,Vorhandene Konten für Namenslizenzanwender,true
aps,Serververbindungen,true
jobserver,Objekttyp,true
jobserver,Verarbeitungsmodul,true
jobserver,Maximal zulässige Anzahl von Aufträgen,true
jobserver,Gleichzeitige Aufträge,true
jobserver,Eingegangene Auftragsanforderungen,true
jobserver,Untergeordnete PIDs,true
jobserver,Fehler bei der Auftragserstellung,true
jobserver,Temporäres Verzeichnis,true
jobserver,Verarbeitungsmodus,true
jobserver,Job Server-Ziele,true
jobserver,Standardeinstellungen für nicht verwaltetes Datenträgerziel gültig,true
jobserver,(Erweitert) Standardeinstellungen für nicht verwaltetes Datenträgerziel gültig,true
jobserver,Standardeinstellungen für FTP-Ziel gültig,true
jobserver,(Erweitert) Standardeinstellungen für FTP-Ziel gültig,true
jobserver,Standardeinstellungen für Posteingangsziel gültig,true
jobserver,(Erweitert) Standardeinstellungen für Posteingangsziel gültig,true
jobserver,Standardeinstellungen für SMTP-E-Mail-Ziel gültig,true
jobserver,(Erweitert) Standardeinstellungen für SMTP-E-Mail-Ziel gültig,true
jobserver,Computername,true
jobserver,Namensserver,true
jobserver,Registrierter Name,true
jobserver,Betriebssystem,true
jobserver,CPU-Typ,true
jobserver,CPUs,true
jobserver,RAM (MB),true
jobserver,Lokale Zeit,true
jobserver,Festplattengröße (GB),true
jobserver,Belegter Speicherplatz (GB),true
jobserver,Version,true
jobserver,Startzeit,true
jobserver,PID,true
jobserver,Hostname,true
jobserver,Host-IP-Adresse,true
jobserver,Anforderungs-Port,true
pjs,Threads in Transportschicht,true
pjs,Maximaler Arbeitsspeicher (MB),true
pjs,Freier Arbeitsspeicher (MB),true
pjs,Verfügbare Prozessoren,true
pjs,Größe des Transportschicht-Threadpools,true
pjs,Gesamtarbeitsspeicher (MB),true
pjs,Serverthreads,true
pjs,PID,true
pjs,Startzeit,true
pjs,Lokale Zeit,true
pjs,Anforderungs-Port,true
pjs,Host-IP-Adresse,true
pjs,Version,true
pjs,Hostname,true
CsContainer,Computername,true
CsContainer,Namensserver,true
CsContainer,Registrierter Name,true
CsContainer,Betriebssystem,true
CsContainer,CPU-Typ,true
CsContainer,CPUs,true
CsContainer,RAM (MB),true
CsContainer,Lokale Zeit,true
CsContainer,Festplattengröße (GB),true
CsContainer,Belegter Speicherplatz (GB),true
CsContainer,Version,true
CsContainer,Startzeit,true
CsContainer,PID,true
CsContainer,Hostname,true
CsContainer,Host-IP-Adresse,true
CsContainer,Anforderungs-Port,true
cacheserver,Älteste an einen Client übergebene Abrufdaten (in Sekunden),true
cacheserver,Maximale Cache-Größe (KB),true
cacheserver,Temporäres Verzeichnis,true
cacheserver,Berichtsdaten für Clients freigeben,true
cacheserver,Zeitsperre für Verbindung im Leerlauf (Minuten),true
cacheserver,Viewer-Regenerierung gibt immer die akuellsten Daten zurück,true
cacheserver,Cache-Trefferquote (%),true
cacheserver,Offene Verbindungen,true
cacheserver,Verarbeitete Anforderungen,true
cacheserver,Objekttyp,true
cacheserver,Anforderungen in der Warteschlange,true
cacheserver,Verarbeitungsmodul,true
cacheserver,Aktuelle Cache-Größe (KB),true
cacheserver,Übertragene Daten (KB),true
cacheserver,Computername,true
cacheserver,Namensserver,true
cacheserver,Registrierter Name,true
cacheserver,Betriebssystem,true
cacheserver,CPU-Typ,true
cacheserver,CPUs,true
cacheserver,RAM (MB),true
cacheserver,Lokale Zeit,true
cacheserver,Festplattengröße (GB),true
cacheserver,Belegter Speicherplatz (GB),true
cacheserver,Version,true
cacheserver,Startzeit,true
cacheserver,PID,true
cacheserver,Hostname,true
cacheserver,Host-IP-Adresse,true
cacheserver,Anforderungs-Port,true
pageserver,Computername,true
pageserver,Namensserver,true
pageserver,Registrierter Name,true
pageserver,Betriebssystem,true
pageserver,CPU-Typ,true
pageserver,CPUs,true
pageserver,RAM (MB),true
pageserver,Lokale Zeit,true
pageserver,Festplattengröße (GB),true
pageserver,Belegter Speicherplatz (GB),true
pageserver,Version,true
pageserver,Startzeit,true
pageserver,PID,true
pageserver,Hostname,true
pageserver,Host-IP-Adresse,true
pageserver,Anforderungs-Port,true
pageserver,Älteste an einen Client übergebene Abrufdaten (in Sekunden),true
pageserver,Temporäres Verzeichnis,true
pageserver,Berichtsdaten für Clients freigeben,true
pageserver,Maximale Anzahl gleichzeitiger Berichtaufträge,true
pageserver,Zeitsperre für Verbindung im Leerlauf (Minuten),true
pageserver,Zeitsperre für Berichtsauftrag im Leerlauf (Minuten),true
pageserver,Viewer-Regenerierung gibt immer die akuellsten Daten zurück,true
pageserver,Maximale Anzahl von Aufträgen vor dem Zurücksetzen eines untergeordneten Prozesses,true
pageserver,Zuvor geladene Berichtsaufträge,true
pageserver,Verarbeitete Anforderungen,true
pageserver,Aktuell offene Berichtsaufträge,true
pageserver,Objekttyp,true
pageserver,Anforderungen in der Warteschlange,true
pageserver,Verarbeitungsmodul,true
pageserver,Aktuell offene Verbindungen,true
pageserver,Übertragene Daten (KB),true
pageserver,Fehlgeschlagene Anforderungen,true
pageserver,Maximale untergeordnete Prozesse,true
dpscacheFullClient,Älteste an einen Client übergebene Abrufdaten (in Sekunden),true
dpscacheFullClient,Maximale Cache-Größe (KB),true
dpscacheFullClient,Temporäres Verzeichnis,true
dpscacheFullClient,Berichtsdaten für Clients freigeben,true
dpscacheFullClient,Zeitsperre für Verbindung im Leerlauf (Minuten),true
dpscacheFullClient,Viewer-Regenerierung gibt immer die akuellsten Daten zurück,true
dpscacheFullClient,Cache-Trefferquote (%),true
dpscacheFullClient,Offene Verbindungen,true
dpscacheFullClient,Verarbeitete Anforderungen,true
dpscacheFullClient,Objekttyp,true
dpscacheFullClient,Anforderungen in der Warteschlange,true
dpscacheFullClient,Verarbeitungsmodul,true
dpscacheFullClient,Aktuelle Cache-Größe (KB),true
dpscacheFullClient,Übertragene Daten (KB),true
dpscacheFullClient,Computername,true
dpscacheFullClient,Namensserver,true
dpscacheFullClient,Registrierter Name,true
